date,helpful,name,rating,review,size
17-Jun-19,One person found this helpful,Jahangir khan™,5.0 out of 5 stars,OnePlus 7 world's best moBile📱👌,Size: 8GB+256GB
11-Jun-19,2 people found this helpful,i8,5.0 out of 5 stars,OnePlus 7 - the TRUE flagship killer,Size: 6GB+128GB
27-Jun-19,2 people found this helpful,rajasekaran,4.0 out of 5 stars,Dolby atmos at its best on a smartphone,Size: 6GB+128GB
07-Jun-19,3 people found this helpful,Yashi Mathur,5.0 out of 5 stars,Best phone in the price band,Size: 8GB+256GB
24-Jun-19,7 people found this helpful,parthi,1.0 out of 5 stars,damaged box received,Size: 6GB+128GB
13-Jun-19,3 people found this helpful,Sachin S.,5.0 out of 5 stars,Go for it,Size: 8GB+256GB
08-Jun-19,2 people found this helpful,Shiv Prakash,5.0 out of 5 stars,More than just value for money,Size: 6GB+128GB
25-Jun-19,One person found this helpful,Vineet kumar,5.0 out of 5 stars,In love with oneplus,Size: 6GB+128GB
07-Aug-19,2 people found this helpful,Shalabh Awasthi,1.0 out of 5 stars,Pathetic Experience with my First OnePlus phone,Size: 6GB+128GB
12-Jun-19,4 people found this helpful,Amazon Customer,2.0 out of 5 stars,Don't buy this rather buy 6T or go for some other brand...,Size: 6GB+128GB
13-Jul-19,2 people found this helpful,Sakshi,3.0 out of 5 stars,Not worth the money,Size: 6GB+128GB
23-Jul-19,One person found this helpful,Chandra Ashwin,5.0 out of 5 stars,The best phone .....,Size: 6GB+128GB
14-Aug-19,One person found this helpful,Arun Anilkumar,5.0 out of 5 stars,Great Phone,Size: 8GB+256GB
07-Jun-19,7 people found this helpful,Lovenish Sachdeva,4.0 out of 5 stars,Must buy,Size: 6GB+128GB
13-Sep-19,One person found this helpful,puneet vikram singh,4.0 out of 5 stars,Disappointed,Size: 6GB+128GB
28-Jun-19,6 people found this helpful,Nithin Kumar Chepoori,1.0 out of 5 stars,No cost EMI is not operating properly!! Be careful.....,Size: 8GB+256GB
